companyId,companyFullName,companyShortName,companyLogo,city,industryField,companyFeatures,financeStage,companySize,interviewRemarkNum,positionNum,processRate,approve,countryScore,cityScore
87170,准动网络科技(厦门)有限公司,准动网络科技,i/image2/M00/2B/6F/CgotOVossQSALX0mAAAX4NW1kBI517.jpg,厦门,"移动互联网,企业服务",让线下消费更美好！,B轮,150-500人,10,26,48,1,0,0
29736,厦门梦马网络科技有限公司,美芽,i/image/M00/29/C0/CgpFT1kpTpOAMnJgAAATPIzAdN0408.png,厦门,移动互联网,美芽，看视频 学化妆 淘妆品,不需要融资,50-150人,19,5,75,1,0,0
70563,厦门掌途信息科技有限公司,掌途,image1/M00/27/A9/Cgo8PFVb4SaAPfP6AABuoyEQFuY325.jpg,厦门,"移动互联网,旅游",靠谱的团队+幽默的Boss+项目前景好+扁平化的管理，掌控全局，运途在握,天使轮,15-50人,51,4,100,1,0,0
91650,厦门意外境界文化传播有限公司,意外艺术,i/image/M00/A1/A0/Cgp3O1ioB6uAMtILAAFYaCEMdvU660.jpg,厦门,"移动互联网,电子商务",轻松了解艺术，从意外艺术开始,B轮,50-150人,4,28,100,1,0,0
9547,四三九九网络股份有限公司,4399,i/image/M00/50/20/CgqKkVey7KKAQwHOAAASXRwwpcI865.jpg,厦门,"移动互联网,游戏",加入4399，与青春伙伴同行！,不需要融资,2000人以上,94,52,95,1,0,0
46011,厦门十点文化传播有限公司,十点读书,i/image/M00/B8/07/Cgp3O1jBCvWAGWkuAAG4acEYyQ0743.jpg,厦门,文化娱乐,围绕微博、微信、电台、微社区等做的一个读书新媒体平台，覆盖3000多万用户。,B轮,50-150人,38,56,100,1,0,0
98167,厦门市礼小签电子科技有限公司,礼小签,i/image/M00/69/DB/CgpEMlmmUCGACcvtAAAQNHx2-UU631.jpg,厦门,"移动互联网,生活服务",高学历海龟团队，对AR技术有非常深刻的理解和研究，应用场景新颖，AR导览的领跑者,A轮,15-50人,4,8,60,1,0,0
3208,厦门同步网络有限公司,同步推,image1/M00/00/08/Cgo8PFTUWBCAcSJHAAB-yfiYxHM640.png,厦门,移动互联网,公司专注于互联网、移动互联网与信息化互动社区，致力并服务于推动手机用户的沟通和娱乐。,上市公司,150-500人,96,21,96,1,0,0
95379,厦门市女帝信息科技有限公司,女帝科技,i/image/M00/5A/16/CgpFT1mL1ICAI1DgAABoBhTVQN8278.png,厦门,"移动互联网,生活服务",视频兔兔，短视频一键上传及数据分析服务,未融资,15-50人,14,4,100,1,0,0
19281,稿定（厦门）科技有限公司,稿定（厦门）科技有限公...,i/image2/M01/65/5F/CgotOVs_MWWAFMUiAAA9QthGU1c478.png,厦门,"电子商务,企业服务",欢乐逛全资子公司，在线设计平台和生态，致力于为所有企业和个体提供满意的商业设计服务。,上市公司,150-500人,36,48,100,1,0,0
51769,厦门联合优创网络科技有限公司,联合优创,image1/M00/00/89/Cgo8PFTUXfaAYcGiAABOgDFFPh8822.jpg,厦门,"移动互联网,文化娱乐",动漫创作软硬件产品，教程素材下载平台，文化创意支持服务！宅腐萌基好青年一起来战吧！,B轮,50-150人,59,5,100,1,0,0
150424,厦门歆薇服饰有限公司,歆记,i/image2/M00/29/8B/CgoB5lonUSOASi4yAAAUQNytgP4781.png,厦门,电子商务,一支有梦想、有激情、有能力的团队等待您的加入！,未融资,15-50人,14,5,100,0,0,0
9237,厦门铃盛软件有限公司,RingCentral厦门研发中心,i/image2/M00/22/0F/CgotOVoT9KOAdd9JAAAkqFpJFz4257.png,厦门,"移动互联网,数据服务",硅谷上市公司，全球统一通信行业领袖！,上市公司,500-2000人,7,17,100,1,0,0
42270,厦门海豹他趣信息技术股份有限公司,他趣,image1/M00/3A/7C/Cgo8PFWtvLaABuaCAABpWoTJJtA465.png,厦门,"移动互联网,电子商务",『他趣上市！（股票代码：837472）』,上市公司,150-500人,75,20,91,1,0,0
84086,厦门笨鸟电子商务有限公司,笨鸟社交,i/image2/M00/4A/01/CgotOVrqZaOAe2YEABHGzgnvHeM968.png,厦门,企业服务,数据驱动营销，社交改变未来。,B轮,150-500人,101,92,68,1,0,0
54777,优倍快网络技术咨询(上海)有限公司,优倍快 (UBNT),i/image2/M00/04/1F/CgotOVnDYomAemH9AAAJFZ4xMNs878.png,厦门,"移动互联网,硬件",Connect the world and change people’s life,上市公司,500-2000人,106,36,100,1,0,0
140991,厦门小题影视有限公司,小题影视,i/image/M00/49/60/Cgp3O1eXE4iADbLjAAC9siqQF5U657.jpg,厦门,文化娱乐,以旅游头部MCN，为用户旅游决策提供最有参考价值,A轮,50-150人,12,26,100,1,0,0
151021,厦门美易美妆股份有限公司,美易美妆,i/image2/M00/49/66/CgotOVrkKgyAYfNdAADCQv-1xrs805.jpg,厦门,"电子商务,移动互联网",我们是上市美妆公司,上市公司,150-500人,45,21,14,1,0,0
22812,厦门欣欣信息有限公司,欣欣旅游,i/image2/M00/22/AE/CgoB5loVO8uAek5hAAAjK198czw151.png,厦门,旅游,面向旅游行业提供一体化电子商务服务，帮助传统旅游企业实现在线化的互联网技术开发公司,B轮,150-500人,35,14,50,1,0,0
102772,厦门清谷信息技术有限公司,清谷科技,i/image/M00/3B/48/CgqKkVdrfpKAfoUaAAAholaocsI260.png,厦门,"企业服务,广告营销",一站式自助海外广告投放平台,天使轮,15-50人,7,0,100,1,0,0
74438,厦门亿动网络科技有限公司,亿动,i/image/M00/91/90/Cgp3O1iYEniAEO2qAAAUOi48fh4537.jpg,厦门,移动互联网,正直守信、分享合作、敬业、服务、进步、创新。,天使轮,15-50人,5,5,66,1,0,0
6980,厦门众联世纪科技有限公司,WiFi 伴侣,i/image2/M00/29/BC/CgotOVonjlKAIsZnAAAZXjnYA5U065.png,厦门,移动互联网,总有WiFi在身边,A轮,50-150人,31,5,20,1,0,0
21758,厦门多快好省网络科技有限公司,多快好省,i/image3/M00/24/4A/CgpOIFqWYCWAEbRQAAAwXroZRs4969.png,厦门,金融,年轻的团队，优渥的待遇，高颜值的伙伴。心有猛虎，一只高效的互联网金融创新团队。,不需要融资,50-150人,50,34,100,1,0,0
25205,厦门吉比特网络技术股份有限公司,吉比特,image1/M00/00/34/Cgo8PFTUXJKAUGStAABQF8Ob-cc090.jpg,厦门,游戏,一个为了创造美好体验的精英游戏团队,上市公司,150-500人,19,62,100,1,0,0
